17,17
40,45
10,9
65
63,-1,0,0
64,-1,0,1
45,-1,0,2
46,-1,0,3
61,-1,0,4
59,-1,0,5
60,-1,0,6
57,-1,0,7
58,-1,0,8
56,-1,0,9
8,-1,1,0
62,-1,1,1
44,-1,1,2
43,-1,1,3
54,-1,1,4
55,-1,1,5
2,-1,1,6
53,47,1,7,1,8
42,-1,1,9
51,50,2,0,2,1
52,48,2,2,2,3
17,58,2,4,2,5
18,60,2,6,2,7
40,56,2,8,2,9
41,57,3,0,3,1
21,66,3,2,3,3
22,65,3,4,3,5
38,67,3,6,3,7
39,68,3,8,3,9
19,54,4,0,4,1
20,55,4,2,4,3
7,-1,4,4
50,-1,4,5
37,-1,4,6
14,59,4,7,4,8
15,61,4,9,5,0
35,44,5,1,5,2
36,43,5,3,5,4
16,-1,5,5
49,-1,5,6
48,-1,5,7
34,-1,5,8
33,-1,5,9
32,-1,6,0
31,-1,6,1
29,39,6,2,6,3
30,38,6,4,6,5
27,25,6,6,6,7
28,26,6,8,6,9
25,-1,7,0
26,-1,7,1
23,-1,7,2
24,-1,7,3
47,-1,7,4
5,-1,7,5
12,-1,7,6
13,-1,7,7
11,-1,7,8
10,-1,7,9
9,-1,8,0
6,-1,8,1
3,-1,8,2
4,-1,8,3
0,-1,8,4
1,-1,8,5
