25,25
32,36
12,11
93
92,-1,0,0
91,93,0,1,0,2
90,94,0,3,0,4
64,-1,0,5
89,-1,0,6
88,-1,0,7
87,-1,0,8
86,64,0,9,0,10
63,-1,0,11
85,-1,1,0
62,64,1,1,1,2
34,-1,1,3
61,-1,1,4
60,-1,1,5
12,-1,1,6
84,-1,1,7
59,-1,1,8
58,-1,1,9
57,-1,1,10
83,-1,1,11
56,-1,2,0
55,-1,2,1
82,64,2,2,2,3
81,-1,2,4
33,68,2,5,2,6
32,64,2,7,2,8
80,-1,2,9
79,64,2,10,2,11
11,-1,3,0
78,66,3,1,3,2
77,64,3,3,3,4
76,64,3,5,3,6
54,64,3,7,3,8
53,64,3,9,3,10
31,-1,3,11
30,95,4,0,4,1
52,-1,4,2
51,-1,4,3
29,-1,4,4
28,-1,4,5
15,-1,4,6
10,-1,4,7
9,-1,4,8
8,-1,4,9
50,98,4,10,4,11
75,73,5,0,5,1
74,72,5,2,5,3
73,-1,5,4
72,-1,5,5
71,-1,5,6
26,83,5,7,5,8
25,0,5,9,5,10
24,-1,5,11
70,-1,6,0
23,97,6,1,6,2
49,56,6,3,6,4
48,50,6,5,6,6
47,96,6,7,6,8
46,37,6,9,6,10
22,-1,6,11
21,81,7,0,7,1
7,-1,7,2
69,84,7,3,7,4
68,64,7,5,7,6
67,64,7,7,7,8
20,-1,7,9
19,-1,7,10
18,97,7,11,8,0
45,-1,8,1
44,-1,8,2
43,-1,8,3
42,-1,8,4
41,-1,8,5
40,-1,8,6
39,-1,8,7
38,-1,8,8
6,-1,8,9
5,-1,8,10
37,100,8,11,9,0
17,-1,9,1
16,-1,9,2
36,99,9,3,9,4
66,-1,9,5
15,-1,9,6
4,64,9,7,9,8
3,64,9,9,9,10
65,-1,9,11
14,64,10,0,10,1
35,63,10,2,10,3
13,89,10,4,10,5
2,-1,10,6
0,-1,10,7
1,-1,10,8
